moller_no,gardiner_no,unicode_cp,unicode_char,jsesh,mdc,hieroglyphica,ifao,wikidata_id,wikidata_label,wikidata_image,tsl_id,desc,match_type
15,A24,U+1301C,𓀜,A24,A24,A24,"22,8",Q117876806,Man hitting,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A24.png,361,"Man, standing, both arms towards the front, holding a branch, as if to strike with it.",matched
16,A25,U+1301D,𓀝,A25,A25,A25,,,,,383,"Man, standing, back bend forward, right arm forward, holding a stick which slightly curves towards the body, left arm hanging beside the body.",matched
17,A59,U+13044,𓁄,A59,A59,A59,"22,15",,,,846,"Man, standing, right arm forward, forearm and hand at the level of the waist, left arm raised, forearm vertically, holding a stick nearly horizontally.",matched
18,A170,,,,,,,,,,246,,unmatched
19,A199a,,,,,,,,,,,,unmatched
20,A176,,,,,,,,,,,,unmatched
21,A58a,,,,,,,,,,,,unmatched
22,A35,U+13028,𓀨,A35,A35,A35,"16,12",Q117877177,Mason,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A35.png,563,"Man, standing, both arms raised in front, touching a vertically written wall with battlements near the top.",matched
23,A121c,,,,,,,,,,,,unmatched
24,A38,U+1302B,𓀫,A38,qiz A38,A38,"32,5",,,,606,"Man, standing, arms at either side of the body, holding the necks of two emblematic animals with panther heads, connected by a line which runs under the feet of the man.",matched
25,A36c,,,,,,,,,,593,,unmatched
26,A50,U+1303B,𓀻,A50,Sps A50,A50,"37,16",Q117877785,Nobleman,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A50.png,794,"Man, with short straight beard, seated on a chair, no arms visible.",matched
27,A??,,,,,,,,,,,,unknown
28,A??,,,,,,,,,,,,unknown
29,A??,,,,,,,,,,,,unknown
30,A17,U+13014,𓀔,A17,Xrd A17,A17,"34,1",Q3054132,𓀔 child,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A17.png,245,"A child, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body.",matched
31,A17*,U+13014,𓀔,A17,Xrd A17,A17,"34,1",Q3054132,𓀔 child,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A17.png,,"A child, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body.",matched
32,A7,U+13009,𓀉,A7,A7,A7,"2,9",Q117849077,Tired man,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A7.png,879,"Man, seated on heel, right leg extended with foot in front of left leg, right and left arm sloping downward to either side of the body.",matched
33,A1,U+13000,𓀀,A1,A1,A1,"1,1",Q117849041,Man,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A1.png,82,"Man, seated, right knee raised, right arm raised, left arm in front of body.",matched
34,A??,,,,,,,,,,,,unknown
35,A2,U+13001,𓀁,A2,A2,A2,"2,4",Q117849031,Man with hand at mouth,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A2.png,290,"Man, seated, right knee raised, right arm raised with hand to mouth, left arm hanging beside the body.",matched
36,A8,U+1300A,𓀊,A8,A8,,"3,7",Q117849080,Rejoicing man,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A8.png,895,"Man, seated, right knee raised, right arm angled in front of the body, left arm raised, hand held verically, handpalm inwards (hnw gesture).",matched
37,C11,U+13068,𓁨,C11,HH C11,,,Q117849443,Heh-god,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-C11.png,,"God, seated on heel, right knee raised, with long curved beard and coif, with a palm branch, stripped of leaves and notched on his head (M4), notch forward, raised arms at either side of the body, hands held vertically, with the handpalms inwards.",matched
38,A4,U+13003,𓀃,A4,A4,A4,"2,14",Q6746125,𓀃,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A4.png,630,"Man, seated, right knee raised, back straight, both arms raised in front, handpalms outwards.",matched
39,A4/A5,U+13003,𓀃,A4,A4,A4,"2,14",Q6746125,𓀃,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A4.png,,"Man, seated, right knee raised, back straight, both arms raised in front, handpalms outwards.",matched
40,A6,U+13006,𓀆,A6,A6,A6,"13,5",Q117849072,Man with water jug,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A6.png,7114,"Man, seated, right knee raised, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, both arms raised towards the front, handpalms outwards.",matched
41,A133,,,,,,,,,,155,,unmatched
42,A9,U+1300B,𓀋,A9,A9,A9,"11,6",Q117849086,Man with basket on head,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A9.png,912,"Man, seated, right knee raised, a vessel on his head, right arm raised in front, with the hand at the vessel, left arm hanging beside the body.",matched
43,A11,U+1300D,𓀍,A11,A11,A11,,Q123458462,Q123458462,,114,"Man, seated, right knee raised, right arm raised In front, holding a sceptre (S42), angled towards the head, left arm in front of the body, holding a stick, resting against the shoulder.",matched
44,A12,U+1300E,𓀎,A12,mSa A12,A12,,Q4785990,𓀎,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A12.png,132,"Man, seated on heel, right knee up, with a feather (H6) on his head, angling backwards, right arm forwards, forearm horizontal, holding a composite bow (T10), left arm in front of the body, holding a stick which angles backwards, leaning against the left shoulder.",matched
45,A40,U+1302D,𓀭,A40,A40,,"38,9",Q117849675,God-seated,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A40.png,,"God, seated, both knees up, with covered legs and arms, with a long curved beard and long wig.",matched
46,A52,U+1303D,𓀽,A52,A52,A52,"46,11",Q119094059,Q119094059,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A52.png,821,"Man, seated, both knees down, with short straight beard, both arms forward, forearms horizontal, one above the other, holding a flagellum (S45).",matched
47,A47,U+13038,𓀸,A47,iry A47,A47,"17,8",Q117877693,Sitting man with tool,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A47.png,748,"Man (shepherd), seated, both knees up, with covered legs and arms, with a short straight beard and short hair/wig, holding a stick which curves inwards, with a band of string or fabric, with the ties away from the body.",matched
48,A47,U+13038,𓀸,A47,iry A47,A47,"17,8",Q117877693,Sitting man with tool,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A47.png,748,"Man (shepherd), seated, both knees up, with covered legs and arms, with a short straight beard and short hair/wig, holding a stick which curves inwards, with a band of string or fabric, with the ties away from the body.",matched
49,A13,U+1300F,𓀏,A13,A13,A13,"24,5",Q3404012,𓀏,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A13.png,149,"Man (enemy), seated on heel, both knees down, both arms behind the back, bound together with rope.",matched
50,A14*,U+13010,𓀐,A14,A14,A14,,,,,,"Man, curled up, right and left lower legs separated, back nearly horizontal, both arms forward, forearms horizontal, grasping a line of liquid (blood) which comes from the head.",matched
51,A14,U+13010,𓀐,A14,A14,A14,,Q117875766,Enemy,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A14A.png,189,"Man, curled up, right and left lower legs separated, back nearly horizontal, both arms forward, forearms horizontal, grasping a line of liquid (blood) which comes from the head.",matched
52,A15,U+13012,𓀒,A15,xr A15,A15,"7,11",Q117875920,Man falling down,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-A15.png,214,"Man, written horizontally, facing down, arms raised in front.",matched
53,A29,U+13021,𓀡,A29,A29,A29,"6,2",,,,436,"Man, upside down, both arms raised at either side of the body, handpalms inwards.",matched
54,A54,U+1303F,𓀿,A54,A54,A54,"47,6",,,,,"A mummy with a long curved beard, lying horizontally.",matched
55,A98,,,,,,,,,,926,,unmatched
56,A??,,,,,,,,,,,,unknown
57,A??,,,,,,,,,,,,unknown
58,A??,,,,,,,,,,,,unknown
59,A??,,,,,,,,,,,,unknown
61,B1,U+13050,𓁐,B1,B1,B1,"48,3",Q117849099,Woman,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-B1.png,,"Woman, seated, both knees up, with covered legs and arms, with long hair.",matched
62,B7,U+13057,𓁗,B7,B7,B7,"49,6",Q117849157,Queen with flower,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-B7.png,,"Woman, seated, both knees up, with covered legs and arms, with long hair, wearing a diadem, holding a flower which curves forward, with the flower orientated downwards.",matched
63,A48,U+13039,𓀹,A48,A48,,,,,,764,"Man, seated, both knees up, with covered legs and arms, with short hair/wig, holding an unknown object (mace/knife/stick?)",matched
64,B64,,,,,,,,,,,,unmatched
65,B2,U+13051,𓁑,B2,B2,B2,"54,2",,,,,"Woman, pregnant, seated, both knees down, with a band of cloth around the head, right arm forward, angling down towards the knee, left arm hanging beside the body.",matched
66,B4,U+13053,𓁓,B4,B4,B4,,Q117849105,Woman giving birth,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-B4.png,,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with 3 vertical lines coming from the legs.",matched
67,B3,U+13052,𓁒,B3,msi B3,B3,"54,5",Q117849105,Woman giving birth,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-B4.png,,"Woman, pregnant, seated, both knees down, right arm forward, angling down towards the knee, left arm hanging beside the body, with the head and arms of a child coming from the legs.",matched
68,B5,U+13054,𓁔,B5,B5,B5,"54,8",Q117849129,Woman suckling,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-B5.png,,"Woman, seated, both knees down, nursing a child, seated on her lap, left arm forward, hand over the chest of the woman, right arm hanging beside the body; right arm forward, embracing/holding the child, left arm over the chest.",matched
69,A??,,,,,,,,,,,,unknown
70,C18,U+1306F,𓁯,,C18,,,Q117849562,Tatenen-god,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-C18.png,,"God, seated, both knees down, with a long curved beard and long hair/wig, wearing a headdress consisting of two feathers on rams horns (S77).",matched
71,A304,,,,,,,,,,,,unmatched
72,C72,,,,,,,,,,,,unmatched
73,C7,U+13063,𓁣,C7,stX C7,C7,"76,9",Q117849271,Seth-god,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-C7.png,,"God, seated, knees up, with covered legs and arms, with the head of a Seth animal.",matched
74,C4/C5,U+13060,𓁠,C4,Xnmw C4,C4,"71,3",,,,,"God, seated, knees up, with covered legs and arms, with the head of a ram, with horizontal twisted horns.",matched
75,C75,,,,,,,,,,,,unmatched
76,C1,U+1305A,𓁚,C1,C1,C1,"76,5",Q117849183,Ra-god,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-C2.png,,"God, seated, knees up, with covered legs and arms, with a long curved beard and long wig/hair,  with N6 (The sun, encircled by a cobra (Naja haja), standing up, with expanded hood (Uraeus)) on its head.",matched
77,C10,U+13066,𓁦,C10,mAat C10,C10,"85,7",Q117849384,Maat-goddess,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-C10A.png,,"Goddess, seated, knees up, with covered legs and arms, with a cloth band around her head, with a feather (H6) on her head.",matched
78,C78,,,,,,,,,,,,unmatched
79,D1,U+13076,𓁶,D1,tp D1,D1,"94,1",Q117849808,Head,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D1.png,,"The head of a human man, seen in profile, with a short straight beard.",matched
80,D2,U+13077,𓁷,D2,Hr D2,D2,"94,12",Q5428311,𓁷,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D2.png,,The face of a human man.,matched
81,D3,U+13078,𓁸,D3,Sny D3,D3,,Q117849873,Hair,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D3.png,,A lock of hair with three strands.,matched
82,D4,U+13079,𓁹,D4,ir D4,D4,"96,14",Q3596265,𓆉,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D4.png,,An eye.,matched
83,D6,U+1307B,𓁻,D6,D6,D6,"97,4",,,,,"An eye, with a line of eye-paint above the eye.",matched
84,D7,U+1307C,𓁼,D7,D7,D7,"98,1",,,,,An eye with a painted lower lid.,matched
85,D9,U+1307F,𓁿,D9,rmi D9,D9,,Q125669073,Q125669073,,,"An eye, with three lines coming from the bottom.",matched
86,D10,U+13080,𓂀,D10,wDAt D10,D10,"99,1",Q211286,Eye of Horus,http://commons.wikimedia.org/wiki/Special:FilePath/Eye%20of%20Horus%20bw.svg,,"An eye, with the markings of the head of a falcon.",matched
87,D17,U+13087,𓂇,D17,D17,D17,"99,14",Q117850116,Image symbol,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D17.png,,The left and right lower marking of an Udjat eye.,matched
88,D12,U+13082,𓂂,D12,D12,D12,"99,8",,,,,The pupil of an eye.,matched
89,D13,U+13083,𓂃,D13,D13,D13,"99,10",,,,,An eyebrow.,matched
90,D20/D19,U+1308A,𓂊,D20,D20,D20,"100,8",,,,,"The nose, eye and cheek of a human, written in a semi-cursive fashion.",matched
91,D21,U+1308B,𓂋,D21,r rA D21,D21,"100,11",Q2921350,𓂋,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D21.png,,A mouth.,matched
92,D25,U+1308F,𓂏,D25,spty D25,D25,"101,11",,,,,"The upper and lower lip of a human, with teeth.",matched
93,D26,U+13090,𓂐,D26,D26,D26,"102,1",Q117850447,Spitting mouth,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D26.png,,"A human mouth, seen from the side, with a wavy downwards sloping line coming from the lips.",matched
94,D27,U+13091,𓂑,D27,mnD D27,D27,"102,13",Q117850490,Breast,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D27.png,,A human breast.,matched
95,D52,U+130B8,𓂸,D52,mt D52,D52,"116,14",Q65660545,𓂸 phallus,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D52.png,,A phallus with a scrotum.,matched
96,D53,U+130BA,𓂺,D53,D53,D53,"117,7",Q65660598,𓂺,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D53.png,,"A phallus with a scrotum, with a line of liquid issuing from it.",matched
97,D279,,,,,,,,,,,,unmatched
98,N42/N41,U+1321F,𓈟,N42,N42,N42,"279,8",,,,,A well with a straight line of water.,matched
99,D36,U+1309D,𓂝,D36,a D36,D36,"109,7",Q2923885,Arm,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D36.png,,"A forearm, with the palm of the hand facing upwards.",matched
100,D42,U+130A3,𓂣,D42,D42,D42,"111,13",Q18205033,𓂣,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D42.png,,"A forearm, with the palm of the hand downwards, upper arm vertical.",matched
101,D41,U+130A2,𓂢,D41,D41,D41,"111,10",,,,,"A forearm, with the palm of the hand downwards, with the upper arm bend forwards.",matched
102,D212a,,,,,,,,,,,,unmatched
103,D37,U+1309E,𓂞,D37,D37,D37,"110,1",Q117850780,Arm with conical bread,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D37.png,,A forearm with the hand holding a conical loaf of bread (X8).,matched
104,D39,U+130A0,𓂠,D39,D39,D39,"110,6",Q117851014,Arm with pot,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D39.png,,A forearm with the hand holding a round vessel with an upstanding rim (W24).,matched
105,D40,U+130A1,𓂡,D40,D40,D40,"110,13",Q117851073,Arm with stick,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D40.png,,A forearm with the hand holding a stick.,matched
106,D43,U+130A4,𓂤,D43,D43,D43,"112,1",Q117851119,Arm with flail,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D43.png,,A forearm with the hand holding a flagellum (S45).,matched
107,D45,U+130A6,𓂦,D45,Dsr D45,D45,"113,4",Q5285380,𓂦,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D45.png,,"An arm, bend at the elbow, forearm nearly horizontal, holding a wand or brush.",matched
108,D28,U+13093,𓂓,D28,kA D28,D28,"103,2",Q117850523,Arms spread out (ka hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Ka%20arms.svg,,"Two arms, raised upwards, with the forearms and hands vertical, handpalms inwards.",matched
110,D32,U+13098,𓂘,D32,D32,D32,"106,4",Q4793835,𓂘,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D32.png,,"Two arms, lowered, with the elbows bent outwards, and the palms of the hands facing towards each other.",matched
111,D35,U+1309C,𓂜,D35,D35,D35,"109,5",Q117850673,Arms spread,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D35.png,,"Two arms, connected at the shoulders, spread sideways, forearms horizontal, with the palms of the hands facing upwards",matched
112,D33,U+13099,𓂙,D33,D33,D33,"108,1",Q117850601,Arms with oar,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D33.png,,"Two arms, holding an oar, in a rowing motion, below a cover.",matched
113,D34,U+1309A,𓂚,,aHA D34,D34,,Q117850639,Arms with shield,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D34.png,,"Two arms, connected at the shoulders, one arm forwards, with a horizontal forearm, holding a shield as seen in profile, top curving inwards, other arm downwards, forearm vertical, holding a mace (T3) horizontally.",matched
115,D46,U+130A7,𓂧,D46,d D46,D46,"114,10",Q613996,𓂧,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D46.png,,A human hand.,matched
116,D49,U+130AC,𓂬,D49,D49,D49,"115,14",Q117851208,Fist,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D49.png,,"A human hand, held as a fist, with the thumb on top.",matched
117,D50,U+130AD,𓂭,D50,Dba D50,D50,"116,7",Q117851248,Finger,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D50.png,,A vertical human finger.,matched
118,D51,U+130B7,𓂷,D51,D51,D51,"116,12",,,,,A horizontal human finger.,matched
121,D55,U+130BD,𓂽,D55,D55,D55,"118,6",Q6518673,𓂽,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D55.png,,"Legs in a walking posture, feet orientated away from the reading direction.",matched
122,D56,U+130BE,𓂾,D56,sbq D56,D56,"119,5",Q117851350,Leg,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D56.png,,A leg with a bend knee.,matched
123,D57=D56+T30,,𓂿+𓂾+𓌪,,,,,,,,,,unmatched
124,D58,U+130C0,𓃀,D58,b D58,D58,"119,12",Q3160823,𓃀,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-D58.png,,A human foot and lower leg.,matched
125,E23,U+130ED,𓃭,E23,rw E23,E23,"136,12",Q6555369,𓃭 recumbent lion,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E23.png,,"A lion, lying down, tail curled over the body towards the back.",matched
126,E13,U+130E0,𓃠,E13,E13,E13,"131,5",Q117858290,Cat,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E13.png,,"A cat, seated, tail curled over the body towards the back.",matched
127,E14,U+130E1,𓃡,E14,E14,E14,"129,4",Q117858301,Sloughi,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E14.png,,"A hunting hound, standing, tail curling upwards.",matched
128,E17,U+130E5,𓃥,E17,zAb E17,E17,"129,5",Q117858313,Standing canine,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E17.png,,"A jackal, standing, tail down.",matched
129,E15,U+130E2,𓃢,E15,E15,E15,"130,3",Q117858305,Recumbent canine,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E16.png,,"A jackal, lying down, tail downwards.",matched
130,E16,U+130E3,𓃣,E16,E16,E16,"130,15",,,,,"A jackal, lying down, tail downwards, on top of a shrine.",matched
131,E130,,,,,,,,,,,,unmatched
132,E34,U+130F9,𓃹,E34,wn E34,E34,"135,1",Q3257384,𓃹 hare,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E34.png,,"A desert hare, lying down.",matched
133,E7,U+130D8,𓃘,E7,E7,E7,"124,1",Q117858103,Donkey,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E7.png,,"A donkey/ass, standing.",matched
134,E12,U+130DF,𓃟,E12,E12,,"137,14",Q117858287,Pig,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E12.png,,A pig.,matched
135,E25,U+130EF,𓃯,E25,E25,E25,"133,8",Q18206446,𓃯,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E25.png,,A hippopotamus (Hippopotamus amphibius).,matched
136,E30,U+130F5,𓃵,E30,E30,E30,,Q117858597,Ibex,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E30.png,,A Nubian ibex (Capra nubiana).,matched
137,E29,U+130F4,𓃴,E29,E29,E29,"127,3",Q117858533,Gazelle,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E29.png,,"A gazelle, standing, with one horn visible.",matched
138,E28,U+130F2,𓃲,E28,E28,E28,"126,3",Q117858467,Oryx,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E28.png,,"An oryx, standing.",matched
140,E10,U+130DD,𓃝,E10,E10,E10,"127,8",Q117858285,Ram,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E11.png,,"A ram (Ovis longipes palaeo-aegyptiacus), standing, with a beard.",matched
141,E2,U+130D3,𓃓,E2,E2,E2,"142,13",,,,,"A bovid (bull), standing, with its head lowered as if to attack.",matched
142,E1,U+130D2,𓃒,E1,E1,,,Q18205350,𓃒,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E1.png,,"A bovid (bull), standing, with outwards curving horns.",matched
143,E9,U+130DB,𓃛,E9,E9,E9,"128,9",Q18210760,𓃛,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-E9.png,,"A newborn bubalis antilope, lying down, legs folded beneath the body, long tail downwards.",matched
144,E21,U+130EB,𓃫,E21,E21,E21,"124,9",,,,,"The animal of Seth, lying down, tail up.",matched
145,E??,,,,,,,,,,,,unknown
146,F4,U+13102,𓄂,F4,HAt F4,F4,"152,14",Q117859891,Forepart of lion,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F4.png,,"The forepart of a lion, lying down.",matched
147,F9,U+13107,𓄇,F9,F9,F9,"152,9",Q6526857,𓄇,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F9.png,,The head of a leopard.,matched
148,F12,U+1310A,𓄊,F12,wsr F12,F12,"149,5",Q117859913,Wsr staff,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F12.png,,The head and neck of a canine animal.,matched
149,F78,,,,,,,,,,,,unmatched
150,F10,U+13108,𓄈,F10,F10,F10,"150,9",,,,,"The head and neck of a long-necked horned animal, with a forked end to the neck with a horizontal line over the forked end.",matched
151,F5,U+13103,𓄃,F5,SsA F5,F5,"151,12",Q117859897,Head of gazelle,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F6.png,,The head of a bubalis antilope.,matched
152,F7,U+13105,𓄅,F7,F7,F7,"146,7",Q117859901,Head of ram,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F8.png,,"The head of a ram (Ovis longipes palaeo-aegyptiacus), with beard.",matched
153,F5,U+13103,𓄃,F5,SsA F5,F5,"151,12",Q117859897,Head of gazelle,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F6.png,,The head of a bubalis antilope.,matched
154,F1,U+130FE,𓃾,F1,F1,,"147,6",Q117859876,Head of cow,http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F1.png,,The head of a bovid (ox) with outwards curving horns.,matched
155,F13,U+1310B,𓄋,F13,wp F13,F13,"154,10",Q117859918,Horns (wp hieroglyph),http://commons.wikimedia.org/wiki/Special:FilePath/Abydos-Bold-hieroglyph-F13.png,,The horns of a bovid (ox).,matched
